;Banque;Catégorie;Date;Numéro d'opération;Libellé;Crédit;Détail
28;CEAPC;;2024-11-19;1911202420241119-03.06.00.580553 -;VIR SEPA MUTUELLE 403;18.64;PREST M403  TIERS 172032443    
31;CEAPC;;2024-11-18;1811202420241118-18.16.18.968052 -;VIR SEPA MNT SANTE PRESTATION R;6.9;0143651400 Prestations Sante   1 72032443   
32;CEAPC;;2024-11-18;1811202420241118-13.10.56.441505 -;VIR SEPA MUTUELLE GENERALE EDUC;5.2;TP-20241113-049OWNP71814906 -172 032443-0091007491-6396-   
33;CEAPC;;2024-11-18;1811202420241118-13.10.52.841517 -;VIR SEPA MUTUELLE GENERALE EDUC;45.12;TP-20241113-017OWNP71836413 -172 032443-0091007171-6396-   
34;CEAPC;;2024-11-18;1811202420241118-13.10.44.944320 -;VIR SEPA VIAMEDIS;8.92;TP-20241112-VIREMENT 7223910 -172032443-0075990010-6396-   
35;CEAPC;;2024-11-18;1811202420241118-10.45.18.488333 -;VIR SEPA C.P.A.M. DE LA ROCHELL;252.57;0000001720324433198122241115    
36;CEAPC;;2024-11-18;1811202420241118-09.30.45.394724 -;VIR SEPA CETIP CETIP;94.84;TP-20241118-SPSANT -172032443-0000476776-6396-   
37;CEAPC;;2024-11-18;1811202420241118-09.30.31.101472 -;VIR SEPA HENNER GMC;3.12;434574340 -0075949776-9639-    
42;CEAPC;;2024-11-18;1811202420241118-08.34.48.728871 -;CB PHARMAMERIQUES    161124;171.86;CB PHARMAMERIQUES    161124 CONTRAT 8413786     REM 156534   
43;CEAPC;;2024-11-18;1811202420241118-08.34.48.718620 -;CB PHARMAMERIQUES    161124;51.58;CB PHARMAMERIQUES    161124 CONTRAT 8413786     REM 153863   
44;CEAPC;;2024-11-18;1811202420241118-08.34.48.708406 -;CB PHARMAMERIQUES    161124;48.06;CB PHARMAMERIQUES    161124 CONTRAT 8413786     REM 151853   
45;CEAPC;;2024-11-18;1811202420241118-08.34.48.697883 -;CB PHARMAMERIQUES    161124;56.26;CB PHARMAMERIQUES    161124 CONTRAT 8413785     REM 153311   
49;CEAPC;;2024-11-18;1811202420241118-01.59.34.934990 -;VIR SEPA SECURITE SOCIALE MGP;13.44;0000001720324433190002241115    
50;CEAPC;;2024-11-18;1811202420241118-01.59.32.091385 -;VIR SEPA CAMIEG;33.63;0000001720324433190031241115    
51;CEAPC;;2024-11-18;1811202420241118-01.59.30.803583 -;VIR SEPA KORELIO PRESTATIONS;3.98;FRAIS MEDICAUX LOT NUMERO:392    
52;CEAPC;;2024-11-18;1811202420241118-01.59.13.011530 -;VIR SEPA HARMONIE MUTUELLE;25.75;TP-20241114-HARMONIE MUTUELLE -172032443-609143-4287-   
53;CEAPC;;2024-11-18;1811202420241118-01.59.01.898829 -;VIR SEPA C.P.A.M. TOULOUSE;58.48;0000001720324433192752241115    
60;CEAPC;;2024-11-16;1611202420241116-08.36.02.470086 -;CB PHARMAMERIQUES    151124;417.74;CB PHARMAMERIQUES    151124 CONTRAT 8413786     REM 154516   
61;CEAPC;;2024-11-16;1611202420241116-08.36.02.459330 -;CB PHARMAMERIQUES    151124;150.11;CB PHARMAMERIQUES    151124 CONTRAT 8413786     REM 135199   
62;CEAPC;;2024-11-16;1611202420241116-08.36.02.448863 -;CB PHARMAMERIQUES    151124;268.31;CB PHARMAMERIQUES    151124 CONTRAT 8413786     REM 149616   
63;CEAPC;;2024-11-16;1611202420241116-08.36.02.438740 -;CB PHARMAMERIQUES    151124;109.42;CB PHARMAMERIQUES    151124 CONTRAT 8413785     REM 156515   
64;CEAPC;;2024-11-16;1611202420241116-08.36.02.427535 -;CB PHARMAMERIQUES    151124;165.7;CB PHARMAMERIQUES    151124 CONTRAT 8413785     REM 150635   
65;CEAPC;;2024-11-16;1611202420241116-08.36.02.416091 -;CB PHARMAMERIQUES    151124;179.05;CB PHARMAMERIQUES    151124 CONTRAT 8413785     REM 152049   
67;CEAPC;;2024-11-15;1511202420241115-13.20.13.323117 -;VIR SEPA MSA DES CHARENTES;5.29;2024111300000017203244 02171000    
68;CEAPC;;2024-11-15;1511202420241115-13.19.57.387044 -;VIR SEPA VIAMEDIS;234.77;TP-20241108-VIREMENT 7155206 -172032443-0075990010-6396-   
69;CEAPC;;2024-11-15;1511202420241115-13.19.52.277126 -;VIR SEPA HM SAFRAN;4.16;HM SAFRAN    
70;CEAPC;;2024-11-15;1511202420241115-10.47.36.916308 -;VIR SEPA MUTUELLE DU PERSONNEL;6.22;VIR-20241115-MBPS -172032443-0442634564-6396-   
71;CEAPC;;2024-11-15;1511202420241115-10.47.35.235753 -;VIR SEPA CETIP CETIP;103.13;TP-20241115-ISANTE -172032443-0000476776-6396-   
72;CEAPC;;2024-11-15;1511202420241115-10.47.26.357574 -;VIR SEPA C.P.A.M. BLOIS;7.54;0000001720324433185051241114    
73;CEAPC;;2024-11-15;1511202420241115-10.47.22.877570 -;VIR SEPA C.P.A.M. DE LA ROCHELL;5690.35;0000001720324433188122241114    
74;CEAPC;;2024-11-15;1511202420241115-10.47.19.565913 -;VIR SEPA C.P.A.M. DE POITIERS;121.91;0000001720324433187681241114    
75;CEAPC;;2024-11-15;1511202420241115-10.47.18.279433 -;VIR SEPA C.P.A.M. DEUX SEVRES;28.87;0000001720324433181599241114    
76;CEAPC;;2024-11-15;1511202420241115-10.47.02.852323 -;VIR SEPA C.P.A.M. CHAMBERY;5.25;0000001720324433182971241114    
77;CEAPC;;2024-11-15;1511202420241115-10.46.57.393523 -;VIR SEPA C.P.A.M. D ANGOULEME;9.41;0000001720324433181622241114    
78;CEAPC;;2024-11-15;1511202420241115-10.46.56.130756 -;VIR SEPA C.P.A.M. TOURS;25.57;0000001720324433182011241114    
79;CEAPC;;2024-11-15;1511202420241115-09.34.38.080617 -;VIR SEPA MUTUELLE GENERALE EDUC;1.39;OW021P471724021OWLQ71725512GH35 OW12/11/24-3564/3564   
80;CEAPC;;2024-11-15;1511202420241115-09.34.34.949239 -;VIR SEPA MUTUELLE GENERALE EDUC;5.29;TP-20241112-033OWNP71748434 -172 032443-0091007331-6396-   
81;CEAPC;;2024-11-15;1511202420241115-09.34.33.529667 -;VIR SEPA MUTUELLE GENERALE EDUC;7.58;TP-20241112-016OWNP71721177 -172 032443-0091007161-6396-   
82;CEAPC;;2024-11-15;1511202420241115-09.34.32.286710 -;VIR SEPA MUTUELLE GENERALE EDUC;25.7;OW017P471724017OWRQ71722354GW28 OW12/11/24-2853/2828   
83;CEAPC;;2024-11-15;1511202420241115-09.34.30.535447 -;VIR SEPA MUTUELLE GENERALE EDUC;24.31;TP-20241112-017OWNP71723056 -172 032443-0091007171-6396-   
84;CEAPC;;2024-11-15;1511202420241115-09.34.24.108713 -;VIR SEPA CETIP CETIP;96.8;TP-20241115-SPSANT -172032443-0000476776-6396-   
91;CEAPC;;2024-11-15;1511202420241115-08.43.18.782619 -;CB PHARMAMERIQUES    141124;458.18;CB PHARMAMERIQUES    141124 CONTRAT 8413786     REM 150342   
92;CEAPC;;2024-11-15;1511202420241115-08.43.18.770573 -;CB PHARMAMERIQUES    141124;454.08;CB PHARMAMERIQUES    141124 CONTRAT 8413786     REM 147094   
93;CEAPC;;2024-11-15;1511202420241115-08.43.18.759662 -;CB PHARMAMERIQUES    141124;245.81;CB PHARMAMERIQUES    141124 CONTRAT 8413786     REM 131390   
94;CEAPC;;2024-11-15;1511202420241115-08.43.18.747209 -;CB PHARMAMERIQUES    141124;0.1;CB PHARMAMERIQUES    141124 CONTRAT 8413786     REM 111774   
95;CEAPC;;2024-11-15;1511202420241115-08.43.18.736460 -;CB PHARMAMERIQUES    141124;152.75;CB PHARMAMERIQUES    141124 CONTRAT 8413785     REM 152488   
96;CEAPC;;2024-11-15;1511202420241115-08.43.18.725008 -;CB PHARMAMERIQUES    141124;12.78;CB PHARMAMERIQUES    141124 CONTRAT 8413785     REM 148203   
97;CEAPC;;2024-11-15;1511202420241115-08.43.18.713441 -;CB PHARMAMERIQUES    141124;88.18;CB PHARMAMERIQUES    141124 CONTRAT 8413785     REM 146763   
98;CEAPC;;2024-11-15;1511202420241115-03.03.26.156066 -;VIR SEPA CAISSE PREVOYANCE ET R;37.15;CP MANDAT 20241108          1720 3244   
99;CEAPC;;2024-11-15;1511202420241115-03.03.16.345150 -;VIR SEPA ALMERYS;112.69;TP-20241114-ALMERYS TP -172032443-0098532001-6396-   
100;CEAPC;;2024-11-15;1511202420241115-03.03.15.872025 -;VIR SEPA C.P.A.M. DE BAYONNE;1.17;0000001720324433185811241114    
101;CEAPC;;2024-11-15;1511202420241115-03.03.09.915593 -;VIR SEPA GROUPE SMISO MUTUELLE;5.36;434096568 -0075949776-0163-    
102;CEAPC;;2024-11-15;1511202420241115-03.02.51.578373 -;VIR SEPA CPAM ILLE ET VILAINE;5.2;0000001720324433187401241114    
103;CEAPC;;2024-11-15;1511202420241115-03.02.50.064158 -;VIR SEPA CPAM DU FINISTERE;23.31;0000001720324433183021241114    
104;CEAPC;;2024-11-15;1511202420241115-03.02.49.473684 -;VIR SEPA CPAM 75 PRESTATIONS;11.8;0000001720324433182201241114    
105;CEAPC;;2024-11-15;1511202420241115-03.02.48.942667 -;VIR SEPA CPAM DU DOUBS;18.0;0000001720324433186340241114    
106;CEAPC;;2024-11-15;1511202420241115-03.02.37.640235 -;VIR SEPA C.P.A.M. MONT DE MARSA;7.74;0000001720324433183521241114    
107;CEAPC;;2024-11-15;1511202420241115-03.02.37.078316 -;VIR SEPA CPAM MAINE-ET-LOIRE;58.49;0000001720324433183720241114    
108;CEAPC;;2024-11-15;1511202420241115-03.02.34.963647 -;VIR SEPA CPAM LOIRE-ATL;5.69;0000001720324433181099241114    
109;CEAPC;;2024-11-15;1511202420241115-03.02.34.456455 -;VIR SEPA CPAM LA ROCHE S/YON VV;9.15;0000001720324433187140241114    
112;CEAPC;;2024-11-14;1411202420241114-16.21.42.662523 -;VIR SEPA M JEAN CHATENET;76.64;RBST FACTURE AMAZON 24945    
113;CEAPC;;2024-11-14;1411202420241114-10.42.17.704558 -;VIR SEPA C.P.A.M. DE POITIERS;5.69;0000001720324433177681241113    
114;CEAPC;;2024-11-14;1411202420241114-10.42.15.839004 -;VIR SEPA CPAM ANNECY;9.45;0000001720324433174091241113    
115;CEAPC;;2024-11-14;1411202420241114-10.41.58.297523 -;VIR SEPA C.P.A.M. DEUX SEVRES;23.92;0000001720324433171599241113    
116;CEAPC;;2024-11-14;1411202420241114-10.41.42.945906 -;VIR SEPA C.P.A.M. DE LA ROCHELL;2048.15;0000001720324433178122241113    
117;CEAPC;;2024-11-14;1411202420241114-09.34.38.968600 -;VIR SEPA MUTUELLE GENERALE EDUC;41.12;TP-20241108-017OWNP71624223 -172 032443-0091007171-6396-   
118;CEAPC;;2024-11-14;1411202420241114-09.34.37.321618 -;VIR SEPA MUTUELLE GENERALE EDUC;27.61;TP-20241108-079OWNP71640701 -172 032443-0091007791-6396-   
119;CEAPC;;2024-11-14;1411202420241114-09.34.36.062894 -;VIR SEPA MUTUELLE GENERALE EDUC;1.98;TP-20241108-078OWNP71639731 -172 032443-0091007781-6396-   
120;CEAPC;;2024-11-14;1411202420241114-09.34.32.618298 -;VIR SEPA MUTUELLE GENERALE EDUC;13.39;OW060P471624060OWLQ71695748FW23 OW08/11/24-2356/2357   
121;CEAPC;;2024-11-14;1411202420241114-09.34.31.904811 -;VIR SEPA MUTUELLE GENERALE EDUC;24.87;TP-20241108-060OWNP71696277 -172 032443-0091007601-6396-   
122;CEAPC;;2024-11-14;1411202420241114-09.34.30.109423 -;VIR SEPA MUTUELLE GENERALE EDUC;25.53;OW017P471624017OWRQ71623562GW24 OW08/11/24-2361/2409   
123;CEAPC;;2024-11-14;1411202420241114-09.34.27.633008 -;VIR SEPA MUTUELLE GENERALE EDUC;4.01;OW078P471624078OWLQ71638729JB81 OW08/11/24-8131/8131   
124;CEAPC;;2024-11-14;1411202420241114-09.34.21.056891 -;VIR SEPA CETIP CETIP;54.42;TP-20241114-ISANTE -172032443-0000476776-6396-   
125;CEAPC;;2024-11-14;1411202420241114-09.34.18.075939 -;VIR SEPA CETIP CETIP;27.08;TP-20241114-SPSANT -172032443-0000476776-6396-   
130;CEAPC;;2024-11-14;1411202420241114-08.43.18.538660 -;CB PHARMAMERIQUES    131124;751.75;CB PHARMAMERIQUES    131124 CONTRAT 8413786     REM 150270   
131;CEAPC;;2024-11-14;1411202420241114-08.43.18.525638 -;CB PHARMAMERIQUES    131124;213.9;CB PHARMAMERIQUES    131124 CONTRAT 8413786     REM 147759   
132;CEAPC;;2024-11-14;1411202420241114-08.43.18.511342 -;CB PHARMAMERIQUES    131124;126.55;CB PHARMAMERIQUES    131124 CONTRAT 8413785     REM 152892   
133;CEAPC;;2024-11-14;1411202420241114-08.43.18.499129 -;CB PHARMAMERIQUES    131124;57.01;CB PHARMAMERIQUES    131124 CONTRAT 8413785     REM 146840   
134;CEAPC;;2024-11-14;1411202420241114-05.50.09.180986 -;VIR SEPA MUTUELLE VERTE;22.79;MUTUELLE VERTE PRESTATIONS : MVE RTE241822170T172032443   
135;CEAPC;;2024-11-14;1411202420241114-05.49.55.978596 -;VIR SEPA ACTIL SAS;1.52;ACT:4460115/172032443-081124    
136;CEAPC;;2024-11-14;1411202420241114-03.04.44.412757 -;VIR SEPA C.P.A.M. LE MANS;11.6;0000001720324433176920241113    
137;CEAPC;;2024-11-14;1411202420241114-03.04.43.699540 -;VIR SEPA HARMONIE MUTUELLE;12.6;TP-20241112-HARMONIE MUTUELLE -172032443-609143-4287-   
138;CEAPC;;2024-11-14;1411202420241114-03.04.41.721074 -;VIR SEPA HARMONIE MUTUELLE;25.44;TP-20241112-HARMONIE MUTUELLE -172032443-609143-4287-   
139;CEAPC;;2024-11-14;1411202420241114-03.04.29.598273 -;VIR SEPA CPAM DE LA COTE D OR;2.58;0000001720324433172440241113    
140;CEAPC;;2024-11-14;1411202420241114-03.04.29.529180 -;VIR SEPA CAMIEG;5.61;0000001720324433170031241113    
141;CEAPC;;2024-11-14;1411202420241114-03.04.26.735725 -;VIR SEPA CPAM ILLE ET VILAINE;2.02;0000001720324433177401241113    
142;CEAPC;;2024-11-14;1411202420241114-03.04.25.811635 -;VIR SEPA SECURITE SOCIALE MGP;19.32;0000001720324433170002241113    
143;CEAPC;;2024-11-14;1411202420241114-03.04.13.072648 -;VIR SEPA CPAM LA ROCHE S/YON VV;9.26;0000001720324433177140241113    
144;CEAPC;;2024-11-14;1411202420241114-03.04.12.274862 -;VIR SEPA CPAM MAINE-ET-LOIRE;1.27;0000001720324433173720241113    
145;CEAPC;;2024-11-14;1411202420241114-03.04.11.511746 -;VIR SEPA C.P.A.M. DE BAYONNE;3.0;0000001720324433175811241113    
146;CEAPC;;2024-11-14;1411202420241114-03.04.07.707828 -;VIR SEPA CPAM 75 PRESTATIONS;17.07;0000001720324433172201241113    
147;CEAPC;;2024-11-14;1411202420241114-03.04.05.723964 -;VIR SEPA CPAM 77;39.45;0000001720324433170011241113    
148;CEAPC;;2024-11-14;1411202420241114-03.04.02.923725 -;VIR SEPA C.P.A.M. PERIGUEUX;17.02;0000001720324433172621241113    
149;CEAPC;;2024-11-14;1411202420241114-03.03.54.688491 -;VIR SEPA CGSS DECAISSEMENT VIRE;11.49;0000001720324433127032241108    
152;CEAPC;;2024-11-13;1311202420241113-16.14.44.205509 -;VIR SEPA KORELIO PRESTATIONS;9.61;FRAIS MEDICAUX LOT NUMERO:580    
153;CEAPC;;2024-11-13;1311202420241113-16.14.39.710239 -;VIR SEPA KORELIO PRESTATIONS;47.63;FRAIS MEDICAUX LOT NUMERO:310    
154;CEAPC;;2024-11-13;1311202420241113-13.17.24.837527 -;VIR SEPA MSA PORTES DE BRETAGNE;2.33;2024110800000017203244 02351000    
155;CEAPC;;2024-11-13;1311202420241113-13.17.19.643199 -;VIR SEPA MSA POITOU;95.01;2024110800000017203244 02861000    
156;CEAPC;;2024-11-13;1311202420241113-10.45.31.073349 -;VIR SEPA C.P.A.M. DE TULLE;5.43;0000001720324433132341241112    
157;CEAPC;;2024-11-13;1311202420241113-10.45.28.705439 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1818.86;0000001720324433138122241112    
158;CEAPC;;2024-11-13;1311202420241113-10.45.25.569593 -;VIR SEPA C.P.A.M. DE LIMOGES;9.81;0000001720324433134221241112    
159;CEAPC;;2024-11-13;1311202420241113-10.44.50.517558 -;VIR SEPA C.P.A.M. TOURS;3.43;0000001720324433132011241112    
160;CEAPC;;2024-11-13;1311202420241113-10.44.49.020901 -;VIR SEPA C.P.A.M. DEUX SEVRES;78.71;0000001720324433131599241112    
161;CEAPC;;2024-11-13;1311202420241113-10.44.48.673744 -;VIR SEPA C P A M CHARLEVILLE;3.8;0000001720324433132290241112    
162;CEAPC;;2024-11-13;1311202420241113-09.34.23.471226 -;VIR SEPA MESE;14.23;MESE    
163;CEAPC;;2024-11-13;1311202420241113-09.34.16.531280 -;VIR SEPA MUTUELLE GENERALE EDUC;10.78;OW075P471524075OWLQ71533173UJ88 OW07/11/24-8886/8887   
164;CEAPC;;2024-11-13;1311202420241113-09.34.16.056157 -;VIR SEPA MUTUELLE GENERALE EDUC;30.75;TP-20241107-017OWNP71524938 -172 032443-0091007171-6396-   
165;CEAPC;;2024-11-13;1311202420241113-09.34.14.276567 -;VIR SEPA MUTUELLE GENERALE EDUC;5.68;TP-20241107-016OWNP71522957 -172 032443-0091007161-6396-   
166;CEAPC;;2024-11-13;1311202420241113-09.34.13.505909 -;VIR SEPA MUTUELLE GENERALE EDUC;31.56;OW017P471524017OWRQ71524263GW18 OW07/11/24-1890/1806   
167;CEAPC;;2024-11-13;1311202420241113-09.34.10.085397 -;VIR SEPA MUTUELLE GENERALE EDUC;5.5;OW016P471524016OWRQ71522658DM58 OW07/11/24-5893/5894   
168;CEAPC;;2024-11-13;1311202420241113-09.34.09.528967 -;VIR SEPA MUTUELLE GENERALE EDUC;8.14;TP-20241107-075OWNP71536121 -172 032443-0091007751-6396-   
169;CEAPC;;2024-11-13;1311202420241113-09.34.07.750980 -;VIR SEPA MUTUELLE GENERALE EDUC;71.78;TP-20241107-078OWNP71546859 -172 032443-0091007781-6396-   
170;CEAPC;;2024-11-13;1311202420241113-09.34.01.050566 -;VIR SEPA CETIP CETIP;187.83;TP-20241113-SPSANT -172032443-0000476776-6396-   
171;CEAPC;;2024-11-13;1311202420241113-09.33.55.966820 -;VIR SEPA CETIP CETIP;28.64;TP-20241113-ISANTE -172032443-0000476776-6396-   
176;CEAPC;;2024-11-13;1311202420241113-08.37.56.204788 -;CB PHARMAMERIQUES    121124;445.37;CB PHARMAMERIQUES    121124 CONTRAT 8413786     REM 152387   
177;CEAPC;;2024-11-13;1311202420241113-08.37.56.193273 -;CB PHARMAMERIQUES    121124;848.37;CB PHARMAMERIQUES    121124 CONTRAT 8413786     REM 149331   
178;CEAPC;;2024-11-13;1311202420241113-08.37.56.181834 -;CB PHARMAMERIQUES    121124;36.4;CB PHARMAMERIQUES    121124 CONTRAT 8413785     REM 149335   
179;CEAPC;;2024-11-13;1311202420241113-08.37.56.169545 -;CB PHARMAMERIQUES    121124;257.04;CB PHARMAMERIQUES    121124 CONTRAT 8413785     REM 138751   
180;CEAPC;;2024-11-13;1311202420241113-05.50.31.816782 -;VIR SEPA PHARMACIE DES AMERIQUE;20.0;    
181;CEAPC;;2024-11-13;1311202420241113-05.50.28.228015 -;VIR SEPA PHARMACIE DES AMERIQUE;2.34;    
182;CEAPC;;2024-11-13;1311202420241113-03.05.52.864897 -;VIR SEPA ALMERYS;49.06;TP-20241109-ALMERYS TP -172032443-0098532001-6396-   
183;CEAPC;;2024-11-13;1311202420241113-03.05.52.370307 -;VIR SEPA C.P.A.M. DE BAYONNE;4.4;0000001720324433135811241112    
184;CEAPC;;2024-11-13;1311202420241113-03.05.51.515095 -;VIR SEPA C.P.A.M. TARBES;44.38;0000001720324433135601241112    
185;CEAPC;;2024-11-13;1311202420241113-03.05.48.105429 -;VIR SEPA ALMERYS;325.72;TP-20241111-ALMERYS TP -172032443-0098532001-6396-   
186;CEAPC;;2024-11-13;1311202420241113-03.05.32.110123 -;VIR SEPA C.P.A.M. TOULOUSE;8.62;0000001720324433132752241112    
187;CEAPC;;2024-11-13;1311202420241113-03.05.27.525532 -;VIR SEPA HARMONIE MUTUELLE;56.14;TP-20241108-HARMONIE MUTUELLE -172032443-609143-4287-   
188;CEAPC;;2024-11-13;1311202420241113-03.05.27.330792 -;VIR SEPA CARTE BLANCHE TP;5.4;TP-20241109-CARTE BLANCHE -172032443-0098532203-6396-   
189;CEAPC;;2024-11-13;1311202420241113-03.05.23.938710 -;VIR SEPA CARTE BLANCHE TP;16.43;TP-20241111-CARTE BLANCHE -172032443-0098532203-6396-   
190;CEAPC;;2024-11-13;1311202420241113-03.05.22.533912 -;VIR SEPA CPAM DU MORBIHAN - COU;23.19;0000001720324433132411241112    
191;CEAPC;;2024-11-13;1311202420241113-03.05.21.939902 -;VIR SEPA MUTUELLE MIP L'ENTREPR;4.84;TP-20241108-MIP -172032443-0775671902-6396-   
192;CEAPC;;2024-11-13;1311202420241113-03.05.21.708908 -;VIR SEPA CPAM DU VAL D OISE;15.76;0000001720324433138500241112    
193;CEAPC;;2024-11-13;1311202420241113-03.05.20.819835 -;VIR SEPA CPAM ILLE ET VILAINE;22.18;0000001720324433137401241112    
194;CEAPC;;2024-11-13;1311202420241113-03.05.20.371657 -;VIR SEPA CPAM HAUTS DE SEINE SE;5.39;0000001720324433139201241112    
195;CEAPC;;2024-11-13;1311202420241113-03.05.00.604564 -;VIR SEPA CGSS DECAISSEMENT VIRE;13.88;0000001720324433117032241107    
196;CEAPC;;2024-11-13;1311202420241113-03.05.00.278448 -;VIR SEPA CGSS DISP OPERATIONS C;7.58;0000001720324433111191241107    
197;CEAPC;;2024-11-13;1311202420241113-03.04.54.609969 -;VIR SEPA MUTUELLE DU GROUPE RAT;1.86;VIREMENT DE PRESTATION 2024-11-0 8   
204;CEAPC;;2024-12-11;1211202420241112-18.22.59.602065 -;VIR SEPA MNT SANTE PRESTATION R;1.64;0143508620 Prestations Sante   1 72032443   
205;CEAPC;;2024-12-11;1211202420241112-18.22.58.168347 -;VIR SEPA MNT SANTE PRESTATION R;19.03;0143508618 Prestations Sante   1 72032443   
206;CEAPC;;2024-12-11;1211202420241112-18.22.58.142055 -;VIR SEPA MNT SANTE PRESTATION R;43.18;0143508619 Prestations Sante   1 72032443   
207;CEAPC;;2024-12-11;1211202420241112-13.21.15.594805 -;VIR SEPA MSA BEAUCE COEUR DE LO;8.73;2024110700000017203244 02281000    
208;CEAPC;;2024-12-11;1211202420241112-13.21.15.075852 -;VIR SEPA VIAMEDIS;48.86;TP-20241105-VIREMENT 7081662 -172032443-0075990010-6396-   
209;CEAPC;;2024-12-11;1211202420241112-13.21.05.288003 -;VIR SEPA MSA DES CHARENTES;57.76;2024110700000017203244 02171000    
210;CEAPC;;2024-12-11;1211202420241112-10.39.54.204857 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1078.38;0000001720324433128122241108    
211;CEAPC;;2024-12-11;1211202420241112-10.39.27.821343 -;VIR SEPA CPAM DU BAS-RHIN - STR;4.76;0000001720324433126610241108    
212;CEAPC;;2024-12-11;1211202420241112-10.39.26.218897 -;VIR SEPA C.P.A.M. DE LIMOGES;12.7;0000001720324433124221241108    
213;CEAPC;;2024-12-11;1211202420241112-09.35.11.358142 -;VIR SEPA MUTUELLE GENERALE EDUC;12.99;OW017P471424017OWRQ71428049GW11 OW06/11/24-1111/1114   
214;CEAPC;;2024-12-11;1211202420241112-09.35.10.450022 -;VIR SEPA MUTUELLE GENERALE EDUC;15.76;TP-20241106-044OWNP71486254 -172 032443-0091007441-6396-   
215;CEAPC;;2024-12-11;1211202420241112-09.35.09.313501 -;VIR SEPA MUTUELLE GENERALE EDUC;14.79;TP-20241106-017OWNP71428798 -172 032443-0091007171-6396-   
216;CEAPC;;2024-12-11;1211202420241112-09.35.02.362382 -;VIR SEPA MUTUELLE GENERALE EDUC;76.86;TP-20241106-013OWNP71422326 -172 032443-0091007131-6396-   
